pnl_total,bank_final
2327.574999999999,2577.574999999999
1503.0749999999982,1753.0749999999982
1671.8499999999985,1921.8499999999985
939.9499999999986,1189.9499999999985
900.0249999999983,1150.0249999999983
2140.2749999999983,2390.2749999999983
2835.8499999999985,3085.8499999999985
2085.1999999999985,2335.1999999999985
2690.6749999999984,2940.6749999999984
2242.899999999998,2492.899999999998
1250.0499999999986,1500.0499999999986
2201.1249999999986,2451.1249999999986
2716.274999999998,2966.274999999998
1995.7249999999985,2245.7249999999985
1845.7499999999986,2095.7499999999986
1814.9999999999984,2064.999999999998
2490.3249999999985,2740.3249999999985
2550.7749999999983,2800.7749999999983
2131.4499999999985,2381.4499999999985
2041.7249999999985,2291.7249999999985
2861.374999999998,3111.374999999998
1780.0749999999985,2030.0749999999985
1593.9749999999985,1843.9749999999985
2185.4249999999984,2435.4249999999984
1172.3249999999985,1422.3249999999985
2182.6749999999984,2432.6749999999984
1976.949999999999,2226.949999999999
2316.0249999999987,2566.0249999999987
3081.0749999999985,3331.0749999999985
1370.5749999999985,1620.5749999999985
2814.9999999999986,3064.9999999999986
1800.7249999999985,2050.7249999999985
1351.4499999999987,1601.4499999999987
2322.249999999998,2572.249999999998
2370.499999999998,2620.499999999998
2511.1999999999994,2761.1999999999994
892.599999999999,1142.599999999999
1534.0749999999987,1784.0749999999987
2439.3499999999985,2689.3499999999985
2340.824999999998,2590.824999999998
1456.8999999999983,1706.8999999999983
2467.9249999999984,2717.9249999999984
1658.474999999998,1908.474999999998
2995.949999999998,3245.949999999998
2107.1499999999987,2357.1499999999987
818.9999999999985,1068.9999999999986
2134.374999999998,2384.374999999998
1218.8499999999985,1468.8499999999985
1707.4499999999987,1957.4499999999987
641.0999999999985,891.0999999999985
1309.199999999999,1559.199999999999
2344.5749999999985,2594.5749999999985
1491.9499999999985,1741.9499999999985
2975.6749999999984,3225.6749999999984
2755.549999999999,3005.549999999999
2645.049999999999,2895.049999999999
1695.8499999999985,1945.8499999999985
1990.1249999999984,2240.124999999998
1862.524999999999,2112.5249999999987
3401.5749999999985,3651.5749999999985
39.94999999999874,289.94999999999874
1503.699999999999,1753.699999999999
1568.8999999999985,1818.8999999999985
2540.849999999998,2790.849999999998
1909.7499999999984,2159.749999999998
1482.6749999999988,1732.6749999999988
1701.6249999999984,1951.6249999999984
1898.3999999999987,2148.3999999999987
2157.049999999999,2407.049999999999
1228.1499999999987,1478.1499999999987
1380.8249999999987,1630.8249999999987
626.8249999999985,876.8249999999985
1359.7499999999986,1609.7499999999986
2638.999999999998,2888.999999999998
2360.749999999999,2610.749999999999
